id,roundId,waveIndex,monsterIds,spawnDelays,spawnCounts,desc
3004,10,2,"11,12","1.5,1.8","14,14",라운드10-웨이브2
3004,10,3,"10,11,12","1.5,1.5,1.8","15,14,13",라운드10-웨이브3
3004,10,4,"9,11,12","1.5,1.5,1.8","16,14,13",라운드10-웨이브4
3004,10,5,"10,11,12","1.5,1.5,1.8","16,15,14",라운드10-웨이브5
3004,10,6,"8,9,10,11,12","1.5,1.5,1.5,1.8,1.8","13,13,14,13,12",라운드10-웨이브6
3004,10,7,"7,8,9,10,11,12","1.5,1.5,1.5,1.5,1.8,1.8","10,10,12,12,11,10",라운드10-웨이브7
4001,10,1,"11,12","1.5,1.8","18,16",라운드10-웨이브1
4001,10,2,"12,13","1.5,1.8","16,16",라운드10-웨이브2
4001,10,3,"11,12,13","1.5,1.5,1.8","17,16,15",라운드10-웨이브3
4001,10,4,"10,12,13","1.5,1.5,1.8","18,16,15",라운드10-웨이브4
4001,10,5,"11,12,13","1.3,1.5,1.8","18,17,16",라운드10-웨이브5
4001,10,6,"9,10,11,12,13","1.3,1.5,1.5,1.8,1.8","15,15,16,15,14",라운드10-웨이브6
4002,11,1,"12,13","1.3,1.5","20,18",라운드11-웨이브1
4002,11,2,"13,14","1.3,1.5","18,18",라운드11-웨이브2
4002,11,3,"12,13,14","1.3,1.3,1.5","19,18,17",라운드11-웨이브3
4002,11,4,"11,13,14","1.3,1.3,1.5","20,18,17",라운드11-웨이브4
4002,11,5,"12,13,14","1.3,1.3,1.5","20,19,18",라운드11-웨이브5
4002,11,6,"10,11,12,13,14","1.3,1.3,1.5,1.5,1.8","16,16,18,17,16",라운드11-웨이브6
4002,11,7,"9,10,11,12,13,14","1.3,1.3,1.3,1.5,1.5,1.8","12,12,14,14,13,12",라운드11-웨이브7
4003,12,1,"13,14","1.3,1.5","22,20",라운드12-웨이브1
4003,12,2,"14,15","1.3,1.5","20,20",라운드12-웨이브2
4003,12,3,"13,14,15","1.3,1.3,1.5","21,20,19",라운드12-웨이브3
4003,12,4,"12,14,15","1.3,1.3,1.5","22,20,19",라운드12-웨이브4
4003,12,5,"13,14,15","1.3,1.3,1.5","22,21,20",라운드12-웨이브5
4003,12,6,"11,12,13,14,15","1.3,1.3,1.3,1.5,1.5","18,18,20,19,18",라운드12-웨이브6
4003,12,7,"10,11,12,13,14,15","1.3,1.3,1.3,1.3,1.5,1.5","14,14,16,16,15,14",라운드12-웨이브7
4004,13,1,"14,15","1.3,1.5","25,22",라운드13-웨이브1
4004,13,2,"15,16","1.3,1.5","22,22",라운드13-웨이브2
4004,13,3,"14,15,16","1.3,1.3,1.5","23,22,21",라운드13-웨이브3
4004,13,4,"13,15,16","1.3,1.3,1.5","25,22,21",라운드13-웨이브4
4004,13,5,"14,15,16","1.3,1.3,1.5","25,23,22",라운드13-웨이브5
4004,13,6,"12,13,14,15,16","1.3,1.3,1.3,1.5,1.5","20,20,22,21,20",라운드13-웨이브6
4004,13,7,"11,12,13,14,15,16","1.3,1.3,1.3,1.3,1.5,1.5","16,16,18,18,17,16",라운드13-웨이브7
4004,13,8,"10,11,12,13,14,15,16","1.3,1.3,1.3,1.3,1.3,1.5,1.5","12,12,14,14,14,13,12",라운드13-웨이브8
